,Order day,Stock item,Quantity,Price,Warehouse,Net Value,>100000
0,2024/07/01,IPHONE 15 PRO MAX 256GB NATURAL TITANIUM WG,1,59500.0,City center - Alex,59500.0,False
1,2024/07/01,SAMSUNG S24 ULTRA 256/12GB TITANIUM GRAY WG,1,47000.0,Miami center - Miami,47000.0,False
2,2024/07/01,IPHONE 13 english 128GB STARLIGHT WG,1,29700.0,Miami center -San,29700.0,False
3,2024/07/01,    IPHONE 13 ENGLISH 128GB GREEN WG,1,29200.0,Miami center - Miami,29200.0,False
4,2024/07/01,REDMI 12 MIDNIGHT BLACK 128GB/8 GB ROM G,1,10424.17,E- Commerce,10424.17,False
5,2024/07/01,IPHONE 15 YELLOW 128GB WG,1,40500.0,Miami center -Smouha,40500.0,False
6,2024/07/01,REDMI NOTE 13 PRO 256/8GB MIDNIGHT BLACK G,1,13800.0,Miami center -San,13800.0,False
7,2024/07/01,  HUAWEI FREE BUDS SE 2 BLUE G,1,2415.0,Miami center -San,2415.0,False
8,2024/07/01,IPHONE 15 PRO MAX 256GB BLACK TITANIUM WG,1,59500.0,Miami center -Smouha,59500.0,False
9,2024/07/01,KIESLECT KS MINI 1.78 ULTRA AMOLED,1,1950.0,Miami center -Smouha,1950.0,False
10,2024/07/01,IPHONE 13 english 128GB MIDNIGHT WG,1,29000.0,Miami center - Miami,29000.0,False
11,2024/07/01,IPHONE 13 english 128GB MIDNIGHT WG,1,29000.0,Miami center - Miami,29000.0,False
12,2024/07/01,SAMSUNG S24 ULTRA 256/12GB TITANIUM BLACK WG,1,47000.0,Miami center -Smouha,47000.0,False
13,2024/07/01,APPLE PENCIL (USB-C),1,6500.0,Miami center -San,6500.0,False
14,2024/07/01, IPAD PRO 13-INCH (M4) WI-FI 256GB SPACE BLACK WG,1,72500.0,Miami center -San,72500.0,False
15,2024/07/01,SAMSUNG A35 5G 256GB 8GB AWESOME ICE BLUE G,1,14700.0,Miami center -Smouha,14700.0,False
16,2024/07/01,APPLE WATCH SERIES 9 45MM MIDNIGHT WG ,1,20400.0,Miami center -San,20400.0,False
17,2024/07/01,IPHONE 13 english 128GB MIDNIGHT WG,1,29200.0,Miami center - Miami,29200.0,False
18,2024/07/01,IPHONE 15 PRO MAX 256GB NATURAL TITANIUM (CH) DUAL SIM WG,1,75050.0,City center - Alex,75050.0,False
19,2024/07/01,IPHONE 15 BLACK ENGLISH 128 WG,1,39500.0,City stars,39500.0,False
20,2024/07/01,IPHONE 14 128GB DUAL SIM PURPLE WG,1,34885.0,Miami center -Smouha,34885.0,False
21,2024/07/01,SAMSUNG GALAXY FIT3 GREY,1,2800.0,City center - Alex,2800.0,False
22,2024/07/01,SAMSUNG A35 5G 256GB 8GB AWESOME NAVY G,1,14700.0,City center - Alex,14700.0,False
23,2024/07/01,GALAXY A15 YELLOW 256/8G,1,9780.0,Miami center -San,9780.0,False
24,2024/07/01,REDMI NOTE 13 128GB 8G midnight black G,1,10600.0,Miami center -San,10600.0,False
25,2024/07/01,IPHONE 14 128GB STARLIGHT WG,1,38600.0,City center - Alex,38600.0,False
26,2024/07/01,IPHONE 13 english 128GB MIDNIGHT WG,1,29150.0,Miami center - Miami,29150.0,False
27,2024/07/01,SAMSUNG S24 ULTRA 256/12GB TITANIUM GRAY WG,-1,47000.0,Miami center - Miami,-47000.0,False
28,2024/07/01,SAMSUNG S24 ULTRA 256/12GB TITANIUM GRAY WG,1,47000.0,Miami center - Miami,47000.0,False
29,2024/07/01,IPHONE 13 english 128GB MIDNIGHT WG,1,29000.0,miami center Bitash branch,29000.0,False
